"","x","y"
"163",438042.63005201,5394149.41814715
"164",441703.5002164,5403173.89397213
"165",445698.36525456,5392966.22040521
"166",482741.68115449,5415000.09842741
"167",484153.40772694,5392909.30685327
"168",475108.52361268,5415706.87828897
"169",481943.743156,5391978.24653819
"170",478427.36441144,5397029.32089694
"171",482515.50790327,5407966.80235087
"172",481009.93071157,5412352.85411625
"173",472935.72634755,5418759.29588327
"174",483636.86409483,5411466.75186709
"175",417422.6605802,5387475.04213449
"176",452330.38605568,5389000.62295142
"177",436073.90569034,5385033.97175758
"178",456864.1328319,5386701.93761482
"179",421255.1806892,5354364.44375919
"180",443770.0185718,5358695.84404514
"181",473433.41701083,5422348.31393938
"182",531611.58418981,5352840.92748063
"183",529321.87959972,5357449.62790554
"184",518424.74800112,5346961.23804285
"185",518448.32386188,5351999.85547724
"186",532411.95007125,5349010.32758077
"187",516010.1497808,5354665.97845602
"188",522983.6088039,5334122.1249776
"189",525744.10493363,5338829.97158671
"190",519546.00206908,5342529.06947003
"191",524016.45004621,5356789.28402582
"192",506844.22919581,5358526.51337087
"193",522066.70848445,5344479.33822825
"194",511532.32191779,5358178.65461041
"195",549755.22193088,5347861.73645261
"196",569617.52929771,5356140.9068385
"197",572332.73578959,5333184.08918363
"198",558441.80752207,5324099.44941493
"199",566248.6247002,5331630.7898201
"200",570746.12095318,5357742.05192855
"201",547936.66772225,5325292.12817163
"202",550011.46577664,5343528.5657074
"203",550728.21263101,5327973.21543128
"204",559308.33718524,5346762.09230227
"205",564026.39834445,5323041.8832857
"206",565656.59400052,5328947.23497581
"207",569023.23612921,5342649.10352498
"208",570112.41474876,5338824.33646237
"209",555305.73124563,5347042.19091982
"210",571254.54143399,5324481.7875955
"211",553711.19328947,5323730.79295556
"212",566198.46229446,5339302.603972
"213",565157.51927777,5355505.38249558
"214",570302.46206355,5351933.66600364
"215",549475.4122203,5358013.44849946
"216",555680.00609035,5333985.30430927
"217",558010.65494,5355821.35113589
"218",566488.58882528,5327281.44256885
"219",569643.19913692,5322862.84664504
"220",554388.31591305,5326061.13663441
"221",555142.95176612,5341908.35562744
"222",562009.50275636,5358089.15966667
"223",567131.68120456,5354269.59207221
"224",571781.23229371,5338338.60006797
"225",553115.88230336,5344736.72662535
"226",562199.81007627,5344001.6875674
"227",566530.63512412,5322974.34019163
"228",567859.228855,5344043.03611034
"229",569920.52485068,5349545.64912772
"230",513362.2733801,5366447.68508836
"231",533091.26543798,5397989.92379808
"232",488044.32565309,5373769.40661945
"233",490083.70170086,5374167.46741068
"234",562542.86416374,5378767.83153379
"235",564237.02613251,5381187.75608398
"236",540953.48206234,5366413.61746137
"237",553456.19929452,5366994.66302902
